attractive,intelligent,intimidating,strong,id,weighted
2.625,3.0625,1.25,1.25,13,1.25
2.5,2.6875,1.5625,1.875,8,1.71875
2.1875,2.4375,2.125,1.375,1,1.75
1.25,1.625,2.125,1.75,9,1.9375
3.5,3.3125,1.5625,2.375,12,1.96875
1.8125,2.3125,2,2.25,11,2.125
1.8125,2.1875,2.125,2.5625,15,2.34375
2,2.375,2.3125,2.4375,10,2.375
1.75,2.8125,2.3125,2.75,7,2.53125
2.375,2.5625,2.3125,3.3125,4,2.8125
2.0625,2.25,2.375,3.3125,16,2.84375
2.625,2.625,2.5625,3.5625,18,3.0625
2.3125,2.5,2.75,3.5625,14,3.15625
1.375,1.9375,3.5,3.0625,3,3.28125
2.5625,2.5625,3.0625,4.1875,6,3.625
1.5625,2.3125,3.5625,4.0625,5,3.8125
2.25,2.125,3.625,4.6875,17,4.15625
1.9375,2,3.8125,4.75,2,4.28125
