,Pid,Gender,VRUse,TugOfWarUse
0,1,Female,Yes,No
1,2,Female,Yes,Yes
2,3,Female,Yes,No
3,4,Male,Yes,Yes
4,5,Female,Yes,No
5,8,Female,Yes,No
6,9,Male,Yes,No
7,10,Male,No,Yes
8,11,Female,Yes,No
9,12,Female,No,No
10,13,Female,No,Yes
11,14,Female,Yes,No
12,15,Male,Yes,Yes
13,16,Female,Yes,No
14,17,Female,Yes,No
15,18,Male,Yes,No
16,19,Female,No,Yes
17,20,Female,No,Yes
18,21,Male,No,No
19,22,Female,Yes,No
20,23,Male,No,Yes
21,24,Male,Yes,No
22,25,Male,No,Yes
23,26,Female,No,No
24,27,Female,Yes,No
25,28,Male,Yes,Yes
