Pid,Please select your gender.,Please state your age.,Have you used Virtual Reality before?,Have you played tug-of-war before?,I felt the virtual rope was realistic.,It looked and felt like I was the one holding the rope.,How much did you pull the rope?,How challenging was this round?,I felt the virtual rope was realistic.,It looked and felt like I was the one holding the rope.,How much did you pull the rope?,How challenging was this round?,I felt the virtual rope was realistic.,It looked and felt like I was the one holding the rope.,How much did you pull the rope?,How challenging was this round?,I felt the virtual rope was realistic.,It looked and felt like I was the one holding the rope.,How much did you pull the rope?,How challenging was this round?,I felt the virtual rope was realistic.,It looked and felt like I was the one holding the rope.,How much did you pull the rope?,How challenging was this round?,"How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)? ",How real did the virtual world seem to you? ,How much did your experience in the virtual environment seem consistent with your real world experience ? ,I felt present in the virtual space. ,"In the computer generated world I had a sense of ""being there"".","I felt as if the virtual arm moved just like I wanted it to, as if it was obeying my will.",I expected the virtual arm to react in the same way as my own arm.,I felt that the interaction with the environment was realistic.,I felt like I controlled the virtual arm.,I felt as if the virtual arm was part of my body.,I felt as if the virtual arm was someone else’s.,What genders were the avatars?,My opponents were intensely involved in our interaction. ,To what extent did you feel able to assess your opponents’ reactions?,To what extent was this like you were in the same room with your opponents?,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.
1,Female,23,Yes,No,4,3,4,2,4,3,4,2,4,4,4,3,4,4,4,3,4,4,3,2,3,4,3,3,3,1,5,3,2,3,4,Female,4,3,4,1,2,3,3,1,1,2,1,1,1,1,1,1,2,2,1,1,3,1,3,,,,,,,,,,,,,,,,,,,,
2,Female,21,Yes,Yes,5,5,5,4,5,4,4,3,5,4,5,5,5,4,3,3,5,4,4,5,3,4,4,4,4,3,4,3,3,4,1,Female,4,3,4,2,3,2,2,3,1,3,2,2,1,2,2,4,2,3,1,1,3,2,3,,,,,,,,,,,,,,,,,,,,
3,Female,24,Yes,No,4,5,4,3,4,5,5,4,4,5,4,4,4,5,5,4,4,4,3,4,3,4,4,4,4,3,4,4,5,4,1,Female,3,2,5,2,1,1,1,3,3,3,4,1,1,3,1,3,3,3,2,1,3,1,4,,,,,,,,,,,,,,,,,,,,
4,Male,26,Yes,Yes,5,4,3,4,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,4,1,3,4,5,4,3,4,4,5,4,1,Male,4,4,3,,,,,,,,,,,,,,,,,,,,,5,5,1,4,1,4,1,3,4,1,3,1,3,5,1,4,4,4,2,2
5,Female,23,Yes,No,4,5,5,4,3,5,4,3,4,5,2,3,3,5,3,2,4,5,4,2,2,3,4,4,5,4,5,3,3,4,2,Female,2,1,5,2,2,1,3,3,1,2,1,1,1,1,2,2,1,1,2,1,3,1,3,,,,,,,,,,,,,,,,,,,,
8,Female,25,Yes,No,4,5,3,2,4,4,3,3,4,5,3,2,4,5,4,3,5,4,4,3,1,3,4,4,4,5,5,3,4,4,2,Female,5,4,3,3,3,4,2,4,3,3,1,4,3,4,1,5,3,3,1,3,4,2,4,,,,,,,,,,,,,,,,,,,,
9,Male,27,Yes,No,3,5,2,2,4,5,3,3,4,5,4,2,4,5,4,3,4,5,4,3,3,4,5,4,4,5,5,4,5,5,1,Male,2,1,4,,,,,,,,,,,,,,,,,,,,,1,4,1,3,1,3,3,2,1,1,2,1,1,2,1,4,1,1,3,2
10,Male,27,No,Yes,5,5,5,3,5,5,4,4,5,5,2,5,5,5,5,5,5,5,5,5,3,3,2,5,5,5,5,2,5,5,1,Male,3,5,5,,,,,,,,,,,,,,,,,,,,,1,5,1,5,2,4,2,3,1,1,1,1,1,3,1,4,2,1,3,3
11,Female,25,Yes,No,4,4,5,2,4,4,5,2,4,4,5,2,4,4,5,3,4,4,5,3,5,3,3,4,4,2,5,3,4,3,2,Female,4,3,4,1,4,2,4,2,2,2,2,3,2,2,1,3,2,3,1,1,5,1,5,,,,,,,,,,,,,,,,,,,,
12,Female,24,No,No,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,4,4,5,4,4,Female,4,5,5,3,4,2,2,4,4,4,1,2,3,2,2,3,3,4,1,1,4,1,4,,,,,,,,,,,,,,,,,,,,
13,Female,34,No,Yes,4,5,4,2,5,4,4,4,4,5,4,4,3,4,4,2,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,Female,4,4,4,2,2,2,3,3,2,3,3,2,1,2,1,4,3,4,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,
14,Female,28,Yes,No,5,5,4,3,5,5,4,4,5,5,5,5,5,5,3,3,5,5,5,4,3,4,4,5,5,5,5,4,4,3,2,Female,4,3,4,3,4,3,4,3,3,4,3,3,2,3,1,4,3,3,2,2,5,3,5,,,,,,,,,,,,,,,,,,,,
15,Male,25,Yes,Yes,5,5,4,3,5,5,4,4,4,5,4,4,5,5,3,3,4,5,3,3,2,4,4,4,4,5,5,5,5,5,1,Male,4,3,4,,,,,,,,,,,,,,,,,,,,,4,5,2,4,4,5,2,4,2,1,2,2,3,4,1,4,4,3,3,3
16,Female,27,Yes,No,5,5,4,2,5,5,4,3,5,5,4,4,5,5,4,3,5,5,4,3,2,4,4,4,4,4,5,5,5,5,1,Female,4,3,3,1,3,1,3,1,1,2,2,1,1,2,1,2,1,2,1,1,3,2,3,,,,,,,,,,,,,,,,,,,,
17,Female,24,Yes,No,4,5,3,1,4,5,4,1,4,5,3,1,4,2,2,1,4,3,5,1,2,3,1,5,4,3,4,2,4,1,4,Female,2,2,5,3,3,1,1,3,2,1,1,3,1,1,1,3,1,2,1,3,3,1,1,,,,,,,,,,,,,,,,,,,,
18,Male,31,Yes,No,4,4,3,2,4,4,5,3,4,4,3,3,4,4,4,4,4,4,3,3,2,4,3,4,4,3,4,4,4,4,2,Male,3,4,5,,,,,,,,,,,,,,,,,,,,,4,5,2,5,1,2,2,2,1,1,3,1,2,5,2,5,3,2,4,1
19,Female,24,No,Yes,4,5,3,4,4,5,4,3,4,4,3,4,5,5,4,3,5,5,4,4,4,4,4,4,5,5,5,5,4,5,2,Female,3,2,3,3,4,4,4,4,2,4,1,1,1,2,1,3,3,4,1,1,4,1,4,,,,,,,,,,,,,,,,,,,,
20,Female,22,No,Yes,5,5,4,2,5,5,4,2,5,5,4,3,5,5,4,2,5,5,4,3,2,2,3,4,3,5,5,5,5,4,1,Female,4,2,4,2,4,3,4,2,2,4,2,1,1,4,2,4,4,4,3,1,3,3,3,,,,,,,,,,,,,,,,,,,,
21,Male,25,No,No,5,5,3,1,5,5,4,1,5,5,3,1,5,5,4,1,5,5,5,1,2,4,3,3,3,5,5,5,5,5,1,Male,3,3,4,,,,,,,,,,,,,,,,,,,,,4,4,2,4,2,2,2,3,2,1,2,1,1,3,2,3,2,2,2,1
22,Female,21,Yes,No,5,5,2,1,5,5,3,1,5,5,3,1,5,5,4,1,5,5,4,1,2,2,2,3,4,5,5,4,5,5,1,Female,5,5,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,2,3,4,3,3,,,,,,,,,,,,,,,,,,,,
23,Male,21,No,Yes,4,5,4,4,4,4,5,5,4,4,2,3,3,4,3,3,3,4,3,2,4,3,2,3,3,2,4,2,3,4,1,Male,2,3,4,,,,,,,,,,,,,,,,,,,,,3,4,2,3,3,4,2,2,2,1,2,2,3,2,2,2,2,2,2,1
24,Male,23,Yes,No,5,5,4,1,5,5,5,1,5,5,5,1,5,5,5,2,5,5,5,1,3,3,4,5,5,5,5,4,5,2,3,Male,4,3,5,,,,,,,,,,,,,,,,,,,,,2,4,1,4,3,5,3,3,3,1,4,2,3,3,3,4,4,2,4,3
25,Male,22,No,Yes,5,5,3,2,5,5,3,2,5,5,3,3,5,5,3,2,5,5,3,1,3,3,2,4,4,3,4,3,5,4,2,Male,3,2,4,,,,,,,,,,,,,,,,,,,,,4,4,4,3,3,3,4,2,3,1,4,1,3,3,4,2,3,2,4,1
26,Female,21,No,No,4,5,4,3,5,5,4,3,5,5,5,4,5,5,5,4,5,5,4,3,3,2,3,5,5,3,4,4,5,5,2,Female,4,3,5,3,3,3,3,3,3,3,3,3,1,3,2,3,3,3,2,3,4,3,4,,,,,,,,,,,,,,,,,,,,
27,Female,21,Yes,No,5,4,4,2,5,3,5,2,5,4,4,3,5,4,5,4,5,3,5,3,4,3,2,4,4,3,4,3,4,4,3,Female,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,3,4,2,3,,,,,,,,,,,,,,,,,,,,
28,Male,23,Yes,Yes,4,4,4,1,4,5,4,3,5,5,4,3,5,5,4,4,5,5,4,4,1,4,3,4,4,3,4,4,5,3,1,Male,3,3,5,,,,,,,,,,,,,,,,,,,,,3,5,3,3,2,4,3,3,2,1,3,3,3,3,2,2,3,2,3,3
